TC ID,항목,층,기법,우선순위,근거,제약,UI 케이스,API 케이스,상태
TC1,온보딩 (6페이지),스모크,시나리오,P1,모든 신규 사용자가 반드시 지나는 첫 관문. 기존 자동화는 온보딩을 건너뛰도록 설계돼 있어(launch argument 우회) 테스트 사각지대가 된 지점,초기 상태 필요(앱 초기화 옵션). 6페이지 완주 기준,UI-01,없음 (온보딩 완료는 로컬 저장 전용),
TC2,회원가입,스모크,"경계값, 에러 기대, 시나리오",P1,"진입 관문, 판정 명확. 서버 규칙(비밀번호 8~256자) 코드로 확인","서버 필요, 매 실행 고유 이메일",UI-02~07,API-01~03,
TC3,로그인,스모크,"시나리오, 에러 기대",P1,진입 관문. 기존 계정 재사용으로 자동화 단순,"서버 필요, 테스트 계정 필요",UI-08~12,"API-04, API-05",
TC4,프로젝트 추가,스모크,시나리오,P1,모든 여정의 시작점,로컬 가능,UI-13~17,"API-06~09, API-15, API-21",
TC5,프로젝트 수정,기능,시나리오,P2,"CRUD 기본, 판정 명확",로컬 가능,UI-18~27,API-10,
TC6,프로젝트 삭제,기능,상태 전이,P2,삭제 후 잔존 여부까지. 캐시 잔존 결함(DEF-11) 이력 계열,로컬 가능,UI-28~31,API-11,
TC7,프로젝트 개수 한계,기능,경계값,P3,"상한 명세 없음(명세 공백), 탐색적",로컬 가능,UI-32,없음,
TC8,프로젝트 정렬과 필터,기능,"시나리오, 상태 전이",P3,순서 비교라 판정 명확. DEF-17 회귀 3건 포함,로컬 가능,UI-33~36,API-25,
TC9,프로젝트 즐겨찾기,기능,상태 전이,P3,토글 상태의 보존 확인,로컬 가능,UI-37~38,없음,
TC10,"프로젝트 작업 화면 (도안, 카운터, 정보 탭)",여정,"시나리오, 상태 전이, 경계값, 회귀",P1,"도안, 카운터, 정보 탭 통합 영역. 카운터 하한은 DEF-15 회귀 이력으로 P1",로컬 가능 (일부 시스템 UI 수동),UI-39~63,"API-12, API-13, API-16, API-22~24",
TC11,재방문 보존(앱 종료 후 상태),여정,상태 전이,P1,"CUJ-2 계열, 작업 재개는 핵심 가치","로컬 가능, 앱 재실행 명령",UI-64,없음,
TC12,실 바늘 도구 등록,기능,시나리오,P2,창고 기본 CRUD,로컬 가능,UI-65~69,API-17,
TC13,등록 항목 수정,기능,시나리오,P3,CRUD 기본. 스냅샷 비전파(LINK-05) 연계,로컬 가능,UI-70~72,API-17 (사이클 포함),
TC14,등록 항목 삭제,기능,상태 전이,P2,스냅샷 보존(LINK-05) 연계,로컬 가능,UI-73~76,API-17 (사이클 포함),
TC15,로그아웃,기능,상태 전이,P2,AUTH-06 게이트 동작. 계정 격리(치명도 3위) 계열,서버 필요,UI-77,API-14,
TC16,오프라인 생성 후 복구 동기화,여정,상태 전이,P2,치명도 1위 계열이나 자동화 비용 큼,"서버와 네트워크 제어, 수동 유지",UI-78,API-18~20,
TC17,비고,,,,신규 구현은 Appium 표준. XCUITest 기존 2건과 CI 게이트는 유지. 전체 삭제 기능은 코드 확인 결과 미구현으로 대상 제외. 실 바늘 도구의 프로젝트 연결과 해제는 UI-68~69가 담당,,,,
