TC ID,대상,케이스 ID,시나리오,스텝,기법,Given,When,Then,비고,상태
TC1,온보딩,UI-01,온보딩 6페이지 완주 후 메인 페이지 확인,1. [다음] 버튼 클릭 2. [다음] 버튼 클릭 3-1. 이름 입력 3-2. [다음] 버튼 클릭 4. [다음] 버튼 클릭 5. [다음] 버튼 클릭 6-1. {3-1 에서 지정한 이름} 표시 확인 6-2. [시작] 버튼 클릭 7. 메인 페이지 표시 확인,시나리오,초기 상태(첫 실행),6페이지 완주,메인페이지의 하단 탭바 표시 확인,,실행 대기
TC2,회원가입,UI-02,회원가입 성공,0. 메인 페이지에서 시작 1. [설정] 탭 클릭 2. [계정 연동] 메뉴 클릭 3. [회원가입] 탭 클릭 4. 이메일 / 비밀번호 / 표시 이름 입력 5. [회원가입] 버튼 클릭 6. 회원가입 성공하며 메인페이지 표시 확인 7. 안녕하세요. {4 에서 회원가입 시 입력한 이름}님 표시 확인,시나리오,온보딩 완료 서버 연결,설정의 계정 연동 - 회원가입 화면에서 고유 이메일과 유효 비밀번호로 가입,메인페이지 이동 회원가입 시 입력한 이름 포함한 인사말 표시,,실행 대기
,,UI-03,회원가입 실패 - 중복 이메일 가입,0. 메인 페이지에서 시작 1. [설정] 탭 클릭 2. [계정 연동] 메뉴 클릭 3. [회원가입] 탭 클릭 4. 이메일 / 비밀번호 / 표시 이름 입력 5. [회원가입] 버튼 클릭 6. 메인페이지 확인 7. [설정] 탭 클릭 8. [계정 연동] 메뉴 클릭 9. [로그아웃] 버튼 클릭 10. 메인페이지 확인 11. [설정] 탭 클릭 12. [계정 연동] 메뉴 클릭 13. [회원가입] 탭 클릭 14. 이메일 / 비밀번호 / 표시 이름 {4 에서 입력했던 정보} 입력 15. [회원가입] 버튼 클릭 16. 회원가입 실패하며 에러 메시지 출력 확인 이미 가입된 이메일이에요. 로그인하거나 다른 이메일을 사용해 주세요.,에러 기대,온보딩 완료 서버 연결,설정의 계정 연동 - 회원가입 화면에서 중복 이메일 가입,에러메시지 표시 메인 페이지 이동 없음,,실행 대기
,,UI-04,회원가입 실패 - 잘못된 형식의 이메일 가입,0. 메인 페이지에서 시작 1. [설정] 탭 클릭 2. [계정 연동] 메뉴 클릭 3. [회원가입] 탭 클릭 4. 잘못된 형식의 이메일 / 비밀번호 / 표시 이름 입력 {test / 12345678 / tester} 5. [회원가입] 버튼 비활성화 확인,에러 기대,온보딩 완료 서버 연결,설정의 계정 연동 - 회원가입 화면에서 잘못된 형식의 이메일 가입,회원가입 버튼 비활성화되어 메인페이지로 넘어가지 않음,,실행 대기
,,UI-05,회원가입 실패 - 유효하지 않은 비밀번호 입력 (미입력) 비밀번호 규칙 : 8자 이상 256자 이하 숫자 특수문자 대소문자 조합 요구 없음,0. 메인 페이지에서 시작 1. [설정] 탭 클릭 2. [계정 연동] 메뉴 클릭 3. [회원가입] 탭 클릭 4. 이메일 / 유효하지 않은 비밀번호 / 표시 이름 입력 {test@test.com / 미입력 / tester} 5. [회원가입] 버튼 비활성화 확인,경계값,온보딩 완료 서버 연결,설정의 계정 연동 - 회원가입 화면에서 유효하지 않은 비밀번호 입력,회원가입 버튼 비활성화되어 메인페이지로 넘어가지 않음,,실행 대기
,,UI-06,회원가입 실패 - 유효하지 않은 비밀번호 입력 (7자),0. 메인 페이지에서 시작 1. [설정] 탭 클릭 2. [계정 연동] 메뉴 클릭 3. [회원가입] 탭 클릭 4. 이메일 / 유효하지 않은 비밀번호 / 표시 이름 입력 {test@test.com / 7자 / tester} 5. [회원가입] 버튼 비활성화 확인,경계값,온보딩 완료 서버 연결,설정의 계정 연동 - 회원가입 화면에서 유효하지 않은 비밀번호 입력,회원가입 버튼 비활성화되어 메인페이지로 넘어가지 않음,,실행 대기
,,UI-07,회원가입 실패 - 유효하지 않은 비밀번호 입력 (257자),0. 메인 페이지에서 시작 1. [설정] 탭 클릭 2. [계정 연동] 메뉴 클릭 3. [회원가입] 탭 클릭 4. 이메일 / 유효하지 않은 비밀번호 / 표시 이름 입력 {test@test.com / 257자 / tester} 5. [회원가입] 버튼 클릭 6. 회원가입 실패하며 에러 메시지 출력,경계값,온보딩 완료 서버 연결,설정의 계정 연동 - 회원가입 화면에서 유효하지 않은 비밀번호 입력,에러메시지 표시 메인 페이지 이동 없음,,실행 대기
TC3,로그인,UI-08,로그인 성공,0. [설정] 탭 클릭 1. [계정 연동] 메뉴 클릭 2. 이메일 / 비밀번호 입력 3. [로그인] 버튼 클릭 4. 로그인 성공하며 메인페이지 표시 확인 5. 안녕하세요. {테스트 계정의 표시 이름}님 표시 확인 6. 홈 카드(전체 프로젝트 수)가 정상 로드되는지 확인,시나리오,가입된 테스트 계정 존재 서버 연결,계정 화면에서 올바른 이메일과 비밀번호로 로그인,메인 페이지 이동 가입 시 이름이 포함된 인사말 표시,DEF-16(수정 완료 4f7e25e) 증상 감시,실행 대기
,,UI-09,로그인 실패 - 빈 입력,0. [설정] 탭 클릭 1. [계정 연동] 메뉴 클릭 2. 이메일 / 비밀번호 미입력 3. [로그인] 버튼 비활성화 확인,에러 기대,가입된 테스트 계정 존재 서버 연결,이메일과 비밀번호 미입력,로그인 버튼 비활성화,,실행 대기
,,UI-10,로그인 실패 - 이메일 형식 오류,0. [설정] 탭 클릭 1. [계정 연동] 메뉴 클릭 2. 형식 오류 이메일 / 비밀번호 입력 3. [로그인] 버튼 비활성화 확인,에러 기대,가입된 테스트 계정 존재 서버 연결,형식 오류 이메일 입력,로그인 버튼 비활성화,,실행 대기
