결함 ID,제목,분류,발견 시점,발견 경위 (케이스/경로),재현 절차 요약,상태,수정 커밋,회귀 담당,비고
DEF-01,다중 기기 충돌로 작업 세션 하드 삭제,RC-01 동기화 유실,8월 초 (06 수동 실행),05 설계 케이스 TC-SYNC08-01 실행,두 기기가 같은 프로젝트를 오프라인 수정 후 순차 동기화 → 기기2 재전송으로 stale PATCH → psql로 WorkSession 행 수 대조,수정 완료,d0a753a (서버 증분 upsert),API-18,known issue #16 실측 확정
DEF-02,단일 기기 재전송으로 세션 소멸,RC-01 동기화 유실,8월 초 (06 수동 실행),05 설계 케이스 TC-SYNC08-02 실행,Charles Breakpoint로 PATCH 정지 → 정지 중 새 세션 생성 → stale PATCH 지연 전송 → psql 대조,수정 완료,d0a753a 계열,API-18,생존/소멸 기준이 요청 본문 포함 여부임을 규명
DEF-03,서버 거부 시 localOnly 완전 유실,RC-01 동기화 유실,8월 초 (06 수동 실행),05 설계 케이스 TC-SYNC09-01 실행,서버에 없는 localOnly에 금지 필드(createdAt) 주입으로 400 유발 → 로컬 보존 확인,수정 완료,conflict 보존 (eab799d 포함),API-19,복구 불가 유실이라 최중량. 2차 회귀의 조합 충돌까지 해소
DEF-04,pendingUpload 수정본 무통보 폐기,RC-01 동기화 유실,8월 초 (06 수동 실행),05 설계 케이스 TC-SYNC10-01 실행,pendingUpload 수정본에 400 유발 → 안내 표시와 로컬 상태 확인,수정 완료,conflict 보존 계열,API-20,무통보 폐기 금지 위반
DEF-05,계정 전환 시 타 소유자 데이터 노출,RC-02 계정 격리,8월 초 (06 수동 실행),05 설계 케이스 TC-AUTH04-01 실행,계정 A 로그아웃 → 계정 B 로그인 → 목록과 캐시 폴더 대조 (서버 반환값은 API로 별도 확인),부분 수정 (잔존),캐시 프루닝 계열,UI-77,완전 격리는 저장 구조 재설계 필요로 미완
DEF-06,로그아웃 시 익명 영역으로 캐시 유입,RC-02 계정 격리,8월 초 (06 수동 실행),DEF-05 조사 중 캐시 폴더 실측,로그아웃 → RemoteCaches/anonymous/ 폴더 내용 확인 → 다음 계정 로그인 시 유입 확인,부분 수정 (잔존),AUTH-06 게이트 (4d76203),UI-77,게이트로 노출 차단. 저장 구조 재설계는 회고 과제
DEF-07,타 소유자 프로젝트 화면 표시 (업로드 자체는 격리),RC-02 계정 격리,8월 초 (06 수동 실행),05 설계 케이스 TC-AUTH05-01 실행,A의 localOnly 존재 상태에서 B 로그인 → POST 감시와 화면 대조,부분 수정 (잔존),DEF-05와 동일 계열,UI-77,AUTH-05 자체는 충족. 노출만 결함
DEF-08,RowCounter 없는 프로젝트가 목록 전체 500,RC-04 데이터 계약,8월 초 (06 수동 실행),05 설계 케이스 TC-CNT03-01 실행,psql로 프로젝트 1건의 RowCounter만 삭제 → GET /projects 응답 확인,수정 완료 (회귀 확인),06c7a10 (목록 격리),API-21,02 추정(클라 층)을 실행이 뒤집은 사례
DEF-09,삭제된 스킬이 로컬 캐시에 잔존 표시,RC-07 죽은 ID 표시,8월 초 (06 수동 실행),05 설계 케이스 TC-LINK03-01 실행,psql로 서버 스킬 삭제(deletedAt) → 앱 재실행과 재조회 후 표시 확인,수정 완료,캐시 프루닝 계열,API-22,DEF-11과 같은 뿌리
DEF-10,도안 교체 시 확인창 없이 드로잉 삭제,RC-03 표시 정합성,8월 초 (06 수동 실행),05 설계 케이스 TC-LINK01-01 실행,드로잉 있는 도안을 다른 도안으로 교체,수정 완료 (회귀 확인),8f1a4ad (네 진입점 확인창),UI-45,LINK-01 PAT-03
DEF-11,원격 캐시가 서버 삭제 항목을 제거하지 않음,캐시 갱신 전략,8월 초 (06 수동 실행),탐색 관찰 (관찰 31),psql로 프로젝트 삭제 → 새로고침 → 목록과 캐시 잔존 확인 → 유령 항목 진입,수정 완료,캐시 스테일 제거,UI-28 간접,DEF-05 09의 공통 뿌리
DEF-12,자가 치유 중 수정분 폐기와 소멸 무통보,RC-01 동기화 유실,8월 초 (06 수동 실행),DEF-11 재현 중 관찰,유령 항목 수정 시도 → PATCH 404 → 메모 폐기와 소멸 무통보 확인,수정 완료,conflict 보존 계열,API-20,SYNC-10 위반
DEF-13,창고 경로 도안의 서버 파일 키 부재,파일 정합성,8월 초 (06 수동 실행),탐색 관찰 후 07 추적,창고 선택 경로로 도안 연결 → psql로 ProjectPatternCopy.fileStorageKey 확인,수정 완료,a74945a,"API-23, UI-43",외부 파일 직접 연결 경로는 정상. 경로별 차이 규명
DEF-14,도안 교체 후 서버 드로잉 키 잔존,파일 정합성,8월 초 (06 수동 실행),탐색 관찰 (관찰 37),도안 교체 → psql로 교체 전 복사본의 drawingStorageKey 확인,수정 완료,0109898 (레코드 재생성),API-24,화면과 서버 키 불일치
DEF-15,카운터 0에서 감소가 증가로 오동작,회귀 (UX 개편 유발),8월 초 (06 실행 중 회귀),05 설계 케이스 TC-CNT01-01 실행,UX 개편 빌드에서 카운터 0 상태로 감소 조작,수정 완료 (자동화),34f3c00 (겹침 제거),"UI-39, UI-54 + CI 게이트",코드 동결 원칙 실증. 경계값 테스트가 검출
DEF-16,로그인 직후 무관한 401이 새 세션 삭제 (경합),세션 정합성,8/22~23 (자동화 준비),실기기 탐색 관찰 + 서버 계측,세션 없는 상태에서 데이터 요청 발사 후 로그인 → 늦은 401 도착 타이밍이면 세션 소멸 (간헐),수정 완료 (검증),4f7e25e (토큰 소지 요청만 삭제),UI-08 (홈 로드 감시),경합이라 증상 감시 방식. 오탐 정정 이력 포함. 백오프 부재는 열린 관찰
DEF-17,작업 세션 저장 시 마지막 작업 시각 미갱신,RC-03 표시 정합성 + 데이터 계약,8/23 (케이스 설계),UI-33 설계 중 정렬 관찰 → 코드 대조 → 저장 파일 실증,10초 이상 작업 세션 기록 → 목록 복귀 → 최근 작업 없음과 순서 불변 확인 → projects.json에서 lastWorkedAt null 확인,미수정 (1차 수정 대상),,"UI-33 35 38, API-25",클라 로컬과 서버 계약 양쪽. 정렬과 홈 재방문 동선 무력화
DEF-18,보기 모드에서 드로잉 미표시,RC-03 표시 정합성,8/23 (케이스 설계),UI-48 실행 중 관찰,그리기 작성 → 보기 모드 전환 → 드로잉 사라짐 확인,미수정 (1차 수정 대상),,UI-49,오너 기획 의도 명문화 (02 PAT 신규 SPEC 예정). 데이터 유실 아님
DEF-19,탭 복귀 시 도안 페이지 1페이지로 초기화,RC-03 표시 정합성,8/23 (케이스 설계),UI-51 실행 중 관찰,8페이지 도안을 3페이지까지 이동 → 홈 탭 다녀와 복귀 → 1페이지 초기화 확인,미수정 (1차 수정 대상),,UI-51,PAT-05 범위 확대 (오너 결정 8/23). 스킬 검색 경로는 무사 실측
SPEC-PROJ-01,프로젝트 이름 길이 제한 미구현 (1~30자 신설),명세 공백 → 스펙 신설,8/23 (케이스 설계),UI-17 설계 중 코드 3층 확인 (제한 부재),추가 폼에 31자 이상 입력 → 제한 없이 저장됨,미구현 (1차 수정 대상),,UI-17,클라 폼 + 서버 검증 2층 적용 예정. 카운터 표시 포함
비고,,,,"발견 경위의 05 설계 케이스 실행 기록 전문(시각, psql 원문)은 06 문서와 부록이 정본. 탐색 관찰 트랙(케이스 밖 발견)과 케이스 실행 트랙을 발견 경위 열에서 구분",,,,,
