API ID,구분,TC 참조,영역,검증 내용,기법,검증 방법,판정 기준,근거/이력,,,,,,,,,,,,,,,,,
API-01,기본 동작,TC2,인증,회원가입 성공 시 계정 생성과 토큰 발급,시나리오,Postman POST /auth/register (고유 이메일),201 + 토큰 반환 + psql User 행 생성,서버 규칙 코드 확인 (8~256자),,,,,,,,,,,,,,,,,
API-02,기본 동작,TC2,인증,비밀번호 길이 규칙의 서버 거부,경계값,7자와 257자로 register 요청,둘 다 400 (VALIDATION_FAILED),8/22 클라 실측과 짝. 서버 단독 검증 확인,,,,,,,,,,,,,,,,,
API-03,기본 동작,TC2,인증,중복 이메일 가입 거부,에러 기대,같은 이메일로 2회 register,2회째 거부 응답 (코드와 메시지 확인),UI-03의 서버 층 확인,,,,,,,,,,,,,,,,,
API-04,기본 동작,TC3,인증,로그인 성공과 실패 자격 거부,에러 기대,올바른/틀린 비밀번호로 POST /auth/login,성공 200 + 토큰. 실패 401 (계정 존재 비노출 메시지),8/22 오류 메시지 동등성 실측 이력,,,,,,,,,,,,,,,,,
API-05,기본 동작,TC3,인증,무토큰 요청의 보호 자원 거부,에러 기대,Authorization 없이 GET /projects,401.0,DEF-16 조사 중 실측 이력,,,,,,,,,,,,,,,,,
API-06,기본 동작,TC4,프로젝트,목록 조회와 소유자 격리,시나리오,계정 A 토큰으로 GET /projects,200 + A 소유 항목만 반환 (psql 대조),06 AUTH-04 실측 이력 (서버 소유자 필터 정상),,,,,,,,,,,,,,,,,
API-07,기본 동작,TC4,프로젝트,생성 계약과 필수 필드,에러 기대,정상 본문 POST와 필수 필드 누락 POST,정상 201 + psql 행 생성. 누락 400,07 실측 (400 검증 오류 + 201 생성),,,,,,,,,,,,,,,,,
API-08,기본 동작,TC4,프로젝트,허용되지 않은 필드 거부,에러 기대,금지 필드(createdAt 등) 주입 POST,400 (forbidNonWhitelisted),07 실측. DEF-03 재현에 쓴 방법,,,,,,,,,,,,,,,,,
API-09,기본 동작,TC4,프로젝트,타입 오류 거부,에러 기대,숫자 필드에 문자열 등 타입 위반 전송,400.0,오탐 정정 이력 (curl 순수 숫자 검증으로 확정),,,,,,,,,,,,,,,,,
API-10,기본 동작,TC5,프로젝트,수정 반영과 부재 ID 처리,시나리오,PATCH 정상 갱신과 존재하지 않는 ID PATCH,정상 200 + psql 반영. 부재 404,07 실측 (PATCH와 404),,,,,,,,,,,,,,,,,
API-11,기본 동작,TC6,프로젝트,삭제의 tombstone 처리,상태 전이,DELETE 후 psql로 deletedAt 확인,행 삭제가 아닌 deletedAt 마킹 + 목록 제외,06 SYNC-06 실측 PASS 이력,,,,,,,,,,,,,,,,,
API-12,기본 동작,TC10,작업 세션,세션 저장 검증 규칙,에러 기대,route ID와 본문 ID 불일치 / 종료가 시작보다 이른 세션 전송,각각 400 (VALIDATION_FAILED),서버 코드 확인 (upsert 검증 2종). 신규 실행 필요,,,,,,,,,,,,,,,,,
API-13,기본 동작,TC10,파일,업로드 파일과 DB 참조의 정합,시나리오,도안 업로드 후 psql StoredFile과 실제 파일 대조,참조와 파일이 1:1 (고아 없음),07 고아 파일 대조 실측 (0 rows 이력),,,,,,,,,,,,,,,,,
API-14,기본 동작,TC15,계정 격리,타 계정 리소스 직접 접근 거부,에러 기대,계정 A 토큰으로 계정 B의 프로젝트 ID GET/PATCH,404 또는 403 (존재 비노출),치명도 3위 계열. 신규 실행 필요,,,,,,,,,,,,,,,,,
API-15,기본 동작,TC4,프로젝트,단건 조회,시나리오,GET /projects/:id,200 + 응답 필드가 psql 행과 일치,신규 실행 필요 (부재 404는 API-10이 커버),,,,,,,,,,,,,,,,,
API-16,기본 동작,TC10,작업 세션,세션 정상 저장,시나리오,정상 세션 upsert 후 psql과 세션 목록 조회,성공 응답 + WorkSession 행 생성 + 목록 표시,신규 실행 필요 (API-12는 거부만 담당),,,,,,,,,,,,,,,,,
API-17,기본 동작,"TC12, TC13, TC14",창고,재료 CRUD 기본 사이클,시나리오,실 생성 → 조회 → 수정 → 삭제를 API로 한 바퀴 + 각 단계 psql 대조,각 단계 정상 응답과 DB 반영,신규 실행 필요,,,,,,,,,,,,,,,,,
API-18,결함 회귀,TC16,동기화,stale PATCH가 기존 작업 세션을 삭제하지 않는지 (DEF-01 02),상태 전이,Charles Breakpoint로 stale PATCH 지연 전송 → psql 행 수 대조,기존 세션 전부 잔존 (하드 삭제 없음),d0a753a 수정. 07 실측 방법 재사용,,,,,,,,,,,,,,,,,
API-19,결함 회귀,TC16,동기화,서버 거부 시 localOnly 보존 (DEF-03),에러 기대,금지 필드 주입으로 POST 400 유발 → 로컬 상태 확인,로컬 보존 + 사용자 안내 표시,conflict 보존(eab799d) 수정,,,,,,,,,,,,,,,,,
API-20,결함 회귀,TC16,동기화,수정본 거부 시 무통보 폐기 금지 (DEF-04 12),에러 기대,pendingUpload 수정본에 400 유발,폐기 시 사유 안내 표시,conflict 보존 계열 수정,,,,,,,,,,,,,,,,,
API-21,결함 회귀,TC4,프로젝트,RowCounter 없는 프로젝트의 목록 격리 (DEF-08),에러 기대,psql로 RowCounter 삭제 → GET /projects,200 + 해당 프로젝트만 제외 + 로그 기록,06c7a10 수정. 06 회귀 확인 이력,,,,,,,,,,,,,,,,,
API-22,결함 회귀,TC10,스킬,서버 삭제 스킬의 캐시 제거 (DEF-09),상태 전이,psql로 스킬 deletedAt 마킹 → 앱 재조회,삭제된 스킬 미표시 (캐시 프루닝),실행 주간 재확인 예정,,,,,,,,,,,,,,,,,
API-23,결함 회귀,TC10,파일,창고 경로 도안의 서버 파일 키 (DEF-13),시나리오,창고 경로 연결 → psql fileStorageKey 확인,null 아님,a74945a 수정. 07 추적 이력,,,,,,,,,,,,,,,,,
API-24,결함 회귀,TC10,파일,교체 후 서버 드로잉 키 정리 (DEF-14),상태 전이,교체 후 psql drawingStorageKey 확인,잔존 키 없음,0109898 수정,,,,,,,,,,,,,,,,,
API-25,결함 회귀,TC8,프로젝트,세션 저장 시 서버 lastWorkedAt 갱신 (DEF-17),상태 전이,세션 기록 → psql Project.lastWorkedAt 확인,세션 종료 시각으로 갱신,미수정. 1차 수정 후 실행 (클라 로컬은 UI-33 담당),,,,,,,,,,,,,,,,,
비고,,,,"실행 도구는 Postman + psql + Charles. 07 실측 이력이 있는 항목은 이력 인용 가능, 신규 실행 필요 항목(API-12 14 15 16 17)과 API-25(수정 후)만 실행하면 됨",,,,,,,,,,,,,,,,,,,,,
